AccountID,Account_Age,Seats,Paid_status,boards_last_30_days,projects_last_30_days,DAU_avg_last_30_days,integrations_count,Integrations_names,Templates_last_30_days
4505926,122,18,Paying,244,14,13,5,"Google, Slack, Zapier, Azure Cards, MS Team",22
1005807,33,1,Churned,49,7,1,4,"Google, Jira, Slack, Dropbox",36
6546087,31,44,Paying,46,32,38,4,"Slack, Zapier, MS Team, Azure Cards",77
8471398,64,20,Paying,160,87,14,3,"Jira, Slack, Zapier",44
2476200,87,58,Paying,87,32,49,1,Zapier,98
3244878,233,7,Paying,349,216,4,2,"MS Team, Azure Cards",25
3991236,66,42,Paying,165,56,36,0,,16
6630653,152,0,Churned,0,0,0,0,,99
4919976,60,16,Churned,90,47,9,1,Zapier,61
2080627,138,3,Paying,138,27,3,3,"MS Team, Azure Cards, Dropbox",21
7336188,124,52,Paying,186,150,42,5,"Jira, Google, Slack, Zapier, Dropbox",3
8123127,86,64,Churned,43,5,28,2,"Jira, Slack",16
6753075,6,26,Paying,9,0,24,4,"Google, Jira, Slack, Dropbox",96
2185709,112,27,Paying,112,55,15,1,Azure Cards,29
4630290,39,23,Churned,58,5,14,3,"MS Team, Azure Cards, Dropbox",30
1849766,130,10,Churned,130,26,10,4,"Slack, Zapier, MS Team, Azure Cards",72
6049411,108,69,Churned,108,40,34,0,,3
2720783,120,56,Churned,180,38,27,5,"Google, Slack, Zapier, Azure Cards, MS Team",24
7945550,223,30,Churned,0,0,17,4,"Slack, Zapier, MS Team, Azure Cards",53
1095061,203,59,Paying,101,3,49,1,Zapier,35
3973607,53,15,Paying,79,71,12,2,"MS Team, Azure Cards",37
6396109,67,46,Paying,33,18,33,3,"MS Team, Azure Cards, Dropbox",33
6924502,60,41,Paying,120,11,32,1,Dropbox,80
6344070,93,52,Churned,93,56,24,2,"MS Team, Azure Cards",12
7162067,47,71,Churned,47,43,30,2,"MS Team, Azure Cards",71
2501007,97,73,Churned,48,28,33,0,,64
7886969,85,44,Paying,212,30,31,4,"Google, Jira, Slack, Dropbox",1
6035578,106,1,Paying,212,4,1,2,"Jira, Zapier",33
1045697,111,8,Churned,0,0,1,0,,8
4034574,199,21,Churned,298,249,13,1,Dropbox,45
6010177,31,54,Churned,31,20,31,0,,74
5162903,58,64,Churned,29,6,26,4,"Google, Jira, Slack, Dropbox",20
8281030,79,59,Paying,158,157,47,4,"Google, Jira, Slack, Dropbox",10
1801182,21,26,Paying,42,11,20,0,,80
7684930,94,6,Churned,94,21,6,5,"Google, Slack, Zapier, Azure Cards, MS Team",3
4593241,70,25,Paying,35,11,20,0,,51
1152517,84,39,Paying,84,67,28,0,,3
7152983,178,43,Paying,445,146,33,2,"Jira, Slack",18
8860712,173,74,Churned,0,0,37,2,"MS Team, Azure Cards",66
4119500,159,25,Paying,159,87,21,2,"MS Team, Azure Cards",19
7868792,25,17,Paying,25,9,9,3,"Jira, Slack, Zapier",52
5532246,68,45,Paying,170,165,36,4,"Slack, Zapier, MS Team, Azure Cards",80
5476859,12,2,Churned,12,4,0,4,"Google, Jira, Slack, Dropbox",38
2338191,48,4,Churned,48,33,2,2,"MS Team, Azure Cards",79
3483243,298,74,Churned,447,283,31,2,"MS Team, Azure Cards",95
7006322,192,75,Churned,0,0,36,3,"MS Team, Azure Cards, Dropbox",27
